(MK)-(JJ GO)-(MK)-(CJ GO)-(CHURN),55491
(MK)-(CJ GO)-(MK)-(JJ GO)-(CHURN),50131
(OR)-(JJ GO)-(OR)-(CJ GO)-(CHURN),40581
(MK)-(PP GO)-(MK)-(CJ GO)-(CHURN),32831
(MK)-(CJ GO)-(MK)-(PP GO)-(CHURN),32725
(OR)-(CJ GO)-(OR)-(JJ GO)-(CHURN),31446
(MK)-(JJ GO)-(MK)-(GG GO)-(CHURN),30602
(MK)-(JJ GO)-(MK)-(PP GO)-(CHURN),26816
(OR)-(PP GO)-(OR)-(CJ GO)-(CHURN),26014
(MK)-(CJ GO)-(MK)-(GG GO)-(CHURN),25819
(OR)-(CJ GO)-(OR)-(PP GO)-(CHURN),25587
(MK)-(PP GO)-(MK)-(JJ GO)-(CHURN),24404
(MK)-(PP GO)-(MK)-(GG GO)-(CHURN),23238
(OR)-(JJ GO)-(OR)-(PP GO)-(CHURN),22411
(MK)-(CJ GO)-(OR)-(JJ GO)-(CHURN),21415
(OR)-(JJ GO)-(OR)-(GG GO)-(CHURN),17310
(MK)-(PP iOS)-(MK)-(CJ iOS)-(CHURN),16800
